Count,City,lons,lats
21343,"Tokyo,JP",139.69171,35.6895
5433,"Kawasaki,JP",139.71722,35.52056
4861,"Osaka,JP",135.50218,34.693740000000005
4802,"Yokohama,JP",139.65,35.43333
3463,"Kanagawa,JP",139.65,35.43333
2820,"San Jose, CA",-121.89496,37.33939
2413,"New York, NY",-74.00596999999998,40.71427
2282,"Rochester, NY",-77.61556,43.15478
2172,"Houston, T",-95.06327,31.41296
1986,"Austin, T",-97.7431,30.2672
1907,"Cincinnati, OH",-84.45689,39.162
1899,"Seoul,KR",126.9784,37.566
1855,"Palo Alto, CA",-122.14302,37.44188
1822,"San Diego, CA",-117.15726,32.71533
1779,"Armonk, NY",-73.71401999999998,41.12648
1550,"Paris,FR",2.3488,48.85341
1514,"Dallas, T",-96.6136,32.8479
1459,"Sunnyvale, CA",-122.03635,37.36883
1427,"Wilmington, DE",-75.54659000000002,39.74595
1390,"Santa Clara, CA",-121.95524,37.35411
1377,"Kanagawa-ken,JP",139.65,35.43333
1317,"Schaumburg, IL",-88.08341,42.03336
1277,"Los Angeles, CA",-118.24368,34.05223
1276,"Kyoto,JP",135.75385,35.02107
1226,"Chicago, IL",-87.65005,41.85003
1168,"Washington, DC",-77.03636999999998,38.89511
1148,"Indianapolis, IN",-86.15804,39.76838
1136,"Hyogo,JP",135.183,34.6913
1086,"Nagoya,JP",136.90641000000002,35.181470000000004
1049,"St. Paul, MN",-93.09327,44.94441
1048,"Boise, ID",-116.20345,43.6135
1041,"Seattle, WA",-122.33207,47.60621
1005,"Shizuoka,JP",138.38333,34.98333
951,"Taipei,TW",121.53185,25.04776
938,"Cupertino, CA",-122.03218,37.323
903,"San Francisco, CA",-122.41942,37.77493
890,"Kariya,JP",136.98333,34.98333
884,"Mountain View, CA",-122.08385,37.38605
884,"Munich,DE",11.57549,48.13743
874,"Murray Hill, NJ",-74.40098,40.69538
863,"Pittsburgh, PA",-79.99589,40.44062
854,"Minneapolis, MN",-93.26384,44.97997
845,"Stamford, CT",-73.53873,41.05343
784,"Hitachi,JP",140.65,36.6
784,"Suwon,KR",127.00889,37.29111
765,"St. Louis, MO",-90.19789,38.62727
760,"Saitama,JP",139.65657,35.90807
757,"Cambridge, MA",-71.10561,42.3751
747,"Boulder, CO",-105.27055,40.01499
744,"Fremont, CA",-121.98857,37.54827
728,"Ibaraki,JP",140.45,36.35
727,"Chiba,JP",140.11667,35.6
720,"Stuttgart,DE",9.17702,48.78232
720,"Midland, MI",-102.07791,31.99735
687,"Leverkusen,DE",6.9843199999999985,51.0303
687,"Hsinchu,TW",120.96861,24.80361
684,"Milan,IT",9.18951,45.46427
680,"Portland, OR",-122.67621,45.52345
661,"Hamamatsu,JP",137.73333,34.7
636,"Hachioji,JP",139.32388999999998,35.65583
626,"Ann Arbor, MI",-83.74088,42.27756
618,"Wako,JP",139.62333,35.78944
617,"Berlin,DE",13.41053,52.52437
599,"Tucson, AZ",-110.92648,32.221740000000004
599,"Akron, OH",-81.51901,41.08144
589,"Philadelphia, PA",-75.16379,39.95233
580,"London,GB2",-0.12775830000000002,51.5073509
578,"Atlanta, GA",-84.38798,33.749
573,"Redmond, WA",-122.12151,47.67399
571,"Kobe,JP",135.183,34.6913
567,"Nara,JP",135.80485,34.68505
567,"Milpitas, CA",-121.90662,37.42827
564,"Salt Lake City, UT",-111.89105,40.76078
559,"Boston, MA",-71.05977,42.35843
554,"Madison, WI",-89.40123,43.07305
549,"Saitama-ken,JP",139.65657,35.90807
537,"Plano, T",-96.6988856,33.0198431
527,"Aichi-ken,JP",136.90641000000002,35.181470000000004
526,"Sagamihara,JP",139.35,35.55
525,"Princeton, NJ",-74.65905,40.34872
524,"Schenectady, NY",-73.93956999999997,42.81424000000001
523,"Aichi,JP",136.90641000000002,35.181470000000004
521,"Toyota,JP",137.15,35.08333
521,"Phoenix, AZ",-112.07404,33.44838
520,"Beaverton, OR",-122.80371,45.48706
519,"Atsugi,JP",139.36931,35.44272
517,"Cleveland, OH",-81.69541,41.4995
517,"Dearborn, MI",-83.17631,42.32226
506,"Newark, DE",-74.17237,40.73566
490,"Irvine, CA",-117.82311,33.66946
487,"Menlo Park, CA",-122.18219,37.45383
480,"Eindhoven,NL",5.47778,51.44083
478,"Ludwigshafen,DE",8.44641,49.48121
471,"Webster, NY",-77.42999,43.21229
469,"Raleigh, NC",-78.63861,35.7721
461,"Oakland, CA",-122.2708,37.80437
461,"Los Altos, CA",-122.11413,37.38522
453,"Dayton, OH",-84.19161,39.75895
444,"Itami,JP",135.40126,34.78427
435,"Yokkaichi,JP",136.61667,34.96667
430,"Hiratsuka,JP",139.33735,35.32785
429,"Hsin-Chu,TW",120.96861,24.80361
427,"Fujisawa,JP",139.47666,35.34926
424,"Peoria, IL",-89.58899,40.69365
420,"Nagano,JP",138.18333,36.65
415,"Hirakata,JP",135.64914,34.813520000000004
413,"Tsukuba,JP",140.05,36.11667
409,"Shizuoka-ken,JP",138.38333,34.98333
407,"Saratoga, CA",-122.02301,37.26383
402,"Baltimore, MD",-76.61219,39.29038
396,"Daejeon,KR",127.41972,36.32139
396,"Colorado Springs, CO",-104.82136,38.83388
395,"Miami, FL",-80.13005,25.79065
393,"Ibaraki-ken,JP",140.45,36.35
389,"Albuquerque, NM",-106.65113999999998,35.08449
382,"Detroit, MI",-83.04575,42.33143
379,"Suwa,JP",138.11308,36.03799
376,"Hiroshima,JP",132.45,34.4
375,"Wuppertal,DE",7.16755,51.27027
372,"Charlotte, NC",-80.84313,35.22709000000001
367,"Memphis, TN",-90.04898,35.14953
366,"Milwaukee, WI",-87.90647,43.0389
358,"Boca Raton, FL",-80.0831,26.35869000000001
354,"Hyogo-ken,JP",135.183,34.6913
347,"Hino,JP",139.40028,35.67306
347,"Columbus, OH",-82.99879,39.96118
344,"La Jolla, CA",-117.2742,32.84727
332,"Machida,JP",139.45083,35.54028
332,"Naperville, IL",-88.14729,41.78586
331,"Nagaokakyo,JP",135.67881,34.9284
327,"San Antonio, T",-98.4936,29.4241
327,"Amagasaki,JP",135.41666999999998,34.71667
327,"Highland, IL",-87.80034,42.18169
324,"Tarrytown, NY",-73.85875,41.07621
324,"Richmond, VA",-77.46025999999998,37.55376
323,"Carlsbad, CA",-117.35059,33.15809
322,"Los Gatos, CA",-121.97468,37.22661
320,"Fairport, NY",-77.44194,43.09867
320,"Rochester, MN",-92.4699,44.02163
315,"Osaka-fu,JP",135.50218,34.693740000000005
311,"Bellevue, WA",-122.20068,47.61038
310,"Tokyo-to,JP",140.05077,31.43885
309,"Okazaki,JP",137.16666999999998,34.95
309,"Woodbury, MN",-92.95938,44.92386
308,"Wakayama,JP",135.16666999999998,34.23333
308,"Frankfurt am Main,DE",8.68417,50.11552
307,"Neenah, WI",-88.46261,44.18582
307,"Appleton, WI",-88.41538,44.26193
307,"Toledo, OH",-83.55521,41.66394
306,"Berkeley, CA",-122.27275,37.87159000000001
301,"Frankfurt,DE",8.68417,50.11552
300,"Toronto,CA",-79.4163,43.70011
297,"Stockholm,SE",18.0649,59.33258000000001
295,"Holland, MI",-86.10893,42.78752
295,"Durham, NC",-78.89862,35.99403
294,"Troy, MI",-83.14993,42.60559
294,"Cary, NC",-78.78112,35.79154000000001
292,"Hamburg,DE",10.01534,53.57532
292,"Lexington, MA",-71.2245,42.44732
291,"Taichung,TW",120.6839,24.1469
290,"Jacksonville, FL",-81.65565,30.33218
289,"Lexington, KY",-84.47771999999998,37.98869000000001
288,"Chapel Hill, NC",-79.05584,35.9132
287,"Fort Worth, T",-97.3307658,32.7554883
286,"Mississauga,CA",-79.6583,43.5789
285,"Baton Rouge, LA",-91.15455,30.45075
283,"Oklahoma City, OK",-97.51643,35.46756
282,"Montreal,CA",-73.58781,45.50884
281,"Moscow,RU",37.61556,55.75222
281,"Redwood City, CA",-122.23635,37.48522
279,"Pasadena, CA",-118.14452,34.14778
278,"Santa Barbara, CA",-119.69819,34.42083
277,"Richardson, T",-75.3435,39.9247
271,"Sakai,JP",135.46667,34.58333
268,"Mesa, AZ",-111.83189,33.41253
268,"Chandler, AZ",-111.84125,33.30616
267,"Yokosuka,JP",139.66722,35.28361
266,"Hitachinaka,JP",140.55789,36.39596
265,"Helsinki,FI",24.93545,60.16952
263,"Norwalk, CT",-73.4079,41.1176
261,"Brooklyn, NY",-73.94958000000003,40.6501
261,"Courbevoie,FR",2.25666,48.89672
261,"Rockville, MD",-77.15276,39.084
259,"Anjo,JP",137.08053999999998,34.95828
259,"Kadoma,JP",135.57442,34.7381
258,"Scottsdale, AZ",-111.89903,33.50921
258,"Carrollton, T",-96.88996359999999,32.975641499999995
257,"Bethesda, MD",-77.10025999999998,38.98067
255,"Torrance, CA",-118.34063,33.83585
255,"Brookline, MA",-71.12116,42.33176
254,"Denver, CO",-104.9847,39.73915
250,"Kingsport, TN",-82.56182,36.54843
248,"Auburn Hills, MI",-83.2341,42.68753
247,"Munchen,DE",11.57549,48.13743
246,"Ebina,JP",135.38333,35.43333
246,"Louisville, KY",-85.75941,38.25424
238,"Katsuta,JP",140.53333,36.36667
237,"Iwata,JP",137.75,34.91667
237,"Mobara,JP",140.29608000000002,35.42583
235,"Bartlesville, OK",-95.98082,36.74731
234,"Chiba-ken,JP",140.11667,35.6
234,"Vancouver,CA",-123.11934,49.24966
234,"Somerville, NJ",-74.60988,40.57427
234,"Tempe, AZ",-111.90931,33.414770000000004
231,"Singapore,SG",103.85007,1.28967
229,"Tokorozawa,JP",139.46903,35.79916
228,"Newton, MA",-71.20922,42.33704
227,"Mannheim,DE",8.47955,49.49671
227,"Danbury, CT",-73.45401,41.39482
227,"Vienna,AT",16.37208,48.20849000000001
226,"Poughkeepsie, NY",-73.92097,41.70037
224,"Kodaira,JP",139.48173,35.72738
223,"Okayama,JP",133.93333,34.65
220,"Arlington, T",-77.1067698,38.879969700000004
219,"Darmstadt,DE",8.650269999999999,49.87167
