Count,City,lons,lats
5175,"Tokyo,JA",139.77531000000002,35.67870999999999
4926,"New York, NY",-74.00596999999998,40.71427
1959,"Washington, DC",-77.03636999999998,38.89511
1948,"Chicago, IL",-87.65005,41.85003
1751,"Pittsburgh, PA",-79.99589,40.44062
1716,"Paris,FR",2.3488,48.85341
1434,"Yokohama,JA",139.5698362,35.562468
1356,"Osaka,JA",135.4607139,34.880195500000006
1347,"Houston, T",-95.06327,31.41296
1299,"London,EN",-0.12574000000000002,51.50853
1193,"Stamford, CT",-73.53873,41.05343
927,"Wilmington, DE",-75.54659000000002,39.74595
837,"Los Angeles, CA",-118.24368,34.05223
830,"Moscow,SU",37.5,55.75
822,"Dallas, T",-96.6136,32.8479
808,"Munich,DT",11.47586,48.1554001
776,"Rochester, NY",-77.61556,43.15478
768,"Leverkusen,DT",6.997240700000001,51.03004179999999
754,"Detroit, MI",-83.04575,42.33143
751,"Cincinnati, OH",-84.45689,39.162
699,"Cleveland, OH",-81.69541,41.4995
694,"St. Louis, MO",-90.19789,38.62727
676,"Philadelphia, PA",-75.16379,39.95233
669,"Frankfurt am Main,DT",-84.844031,38.204164399999996
664,"Indianapolis, IN",-86.15804,39.76838
622,"Midland, MI",-102.07791,31.99735
620,"Bartlesville, OK",-95.98082,36.74731
608,"Palo Alto, CA",-122.14302,37.44188
591,"Milan,IT",9.18951,45.46427
556,"Kawasaki,JA",139.69599,35.55275
550,"Akron, OH",-81.51901,41.08144
544,"Minneapolis, MN",-93.26384,44.97997
533,"Schenectady, NY",-73.93956999999997,42.81424000000001
528,"Toledo, OH",-83.55521,41.66394
505,"Minami-ashigara,JA",139.103621,35.3351187
498,"Armonk, NY",-73.71401999999998,41.12648
483,"Peoria, IL",-89.58899,40.69365
458,"Basel,CH",7.57327,47.55839
452,"Milwaukee, WI",-87.90647,43.0389
436,"Cologne,DT",6.9818159,50.9260718
416,"Stuttgart,DT",9.188114500000001,48.82770259999999
411,"San Francisco, CA",-122.41942,37.77493
411,"Eindhoven,NL",5.47778,51.44083
410,"St. Paul, MN",-93.09327,44.94441
406,"Ardsley, NY",-73.84375,41.01065
398,"Dayton, OH",-84.19161,39.75895
